Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.7.157-172.16.104.130-8080-53616-6,172.16.7.157,8080,172.16.104.130,53616,6,14/03/2024 06:08:51 PM,5546,4,1,220.0,0.0,220.0,0.0,55.00000000000001,110.0,0.0,0.0,0.0,0.0,39668.229354489726,901.5506671474938,1386.5,1341.395666212372,3304.0,184.0,4418.0,1472.6666666666665,1629.2529985650888,3304.0,184.0,0,0,0,0,0,0,0,0,0,80,32,721.2405337179949,180.31013342949873,0.0,220.0,36.666666666666664,89.81462390204986,8066.666666666667,0,1,0,0,1,0,0,0,0.0,44.0,55.0,0.0,0,0,0,0,0,0,4,220,1,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41218-4280-6,172.16.102.242,41218,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,9986,4,4,561.0,1798.0,561.0,0.0,140.25,280.5,1460.0,0.0,449.5,692.25308474093,236230.7230122171,801.1215701982776,1426.5714285714284,2950.573439019544,8061.0,1.0,9572.0,3190.666666666667,4581.03157960446,8440.0,1.0,8490.0,2830.0,4744.712003904979,8308.0,14.0,0,0,0,0,80,112,400.5607850991388,400.5607850991388,0.0,1460.0,262.1111111111111,492.72772512931635,242780.61111111112,0,1,0,0,0,0,0,0,1.0,294.875,140.25,449.5,0,0,0,0,0,0,4,561,4,1798,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41218-4280-6,172.16.104.163,4280,172.16.102.242,41218,6,14/03/2024 06:08:52 PM,1241,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.6035455278002,1241.0,0.0,1241.0,1241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,805.8017727639001,805.8017727639001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41228-4280-6,172.16.102.242,41228,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,13251,4,3,576.0,617.0,576.0,0.0,144.0,288.0,617.0,0.0,205.66666666666666,356.22511608999906,90030.941061052,528.2620179609086,2208.5,4783.513217291242,11965.0,1.0,12845.0,4281.666666666667,6911.365229340245,12255.0,1.0,12372.0,6186.0,8448.51182161687,12160.0,212.0,0,0,0,0,80,92,301.8640102633763,226.39800769753225,0.0,617.0,149.125,276.34318079415056,76365.55357142857,0,1,0,0,0,0,0,0,0.0,170.42857142857142,144.0,205.66666666666666,0,0,0,0,0,0,4,576,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41228-4280-6,172.16.104.163,4280,172.16.102.242,41228,6,14/03/2024 06:08:52 PM,760,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2631.578947368421,760.0,0.0,760.0,760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1315.7894736842104,1315.7894736842104,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41242-4280-6,172.16.102.242,41242,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,7247,4,3,543.0,617.0,543.0,0.0,135.75,271.5,617.0,0.0,205.66666666666666,356.22511608999906,160066.23430384987,965.9169311439216,1207.8333333333335,2389.470185347929,6069.0,86.0,6970.0,2323.3333333333335,3423.1461162698465,6264.0,86.0,6432.0,3216.0,4344.464063610148,6288.0,144.0,0,0,0,0,80,92,551.952532082241,413.9643990616807,0.0,617.0,144.99999999999997,269.2152617197939,72476.85714285713,0,1,0,0,0,0,0,0,0.0,165.71428571428572,135.75,205.66666666666666,0,0,0,0,0,0,4,543,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41242-4280-6,172.16.104.163,4280,172.16.102.242,41242,6,14/03/2024 06:08:52 PM,1156,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.1038062283737,1156.0,0.0,1156.0,1156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,865.0519031141869,865.0519031141869,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41244-4280-6,172.16.102.242,41244,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,13327,4,4,540.0,1829.0,540.0,0.0,135.0,270.0,1460.0,0.0,457.25,690.760631478083,177759.43573197268,600.2851354393337,1903.8571428571427,4358.723262170985,11784.0,12.0,12860.0,4286.666666666667,6807.5929911631265,12147.0,288.0,12551.0,4183.666666666666,6992.158774894441,12256.0,12.0,0,0,0,0,80,112,300.14256771966683,300.14256771966683,0.0,1460.0,263.22222222222223,491.9079633879131,241973.44444444447,0,1,0,0,0,0,0,0,1.0,296.125,135.0,457.25,0,0,0,0,0,0,4,540,4,1829,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41244-4280-6,172.16.104.163,4280,172.16.102.242,41244,6,14/03/2024 06:08:52 PM,1948,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.694045174538,1948.0,0.0,1948.0,1948.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,513.347022587269,513.347022587269,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41258-4280-6,172.16.102.242,41258,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,7597,4,3,577.0,617.0,577.0,0.0,144.25,288.5,617.0,0.0,205.66666666666666,356.22511608999906,157167.30288271687,921.4163485586416,1266.1666666666665,2308.6836436954,5919.0,85.0,7354.0,2451.3333333333335,3296.0267494869236,6216.0,85.0,6247.0,3123.5,4274.460492272679,6146.0,101.0,0,0,0,0,80,92,526.5236277477952,394.8927208108464,0.0,617.0,149.25,276.56399414447077,76487.64285714286,0,1,0,0,0,0,0,0,0.0,170.57142857142858,144.25,205.66666666666666,0,0,0,0,0,0,4,577,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41258-4280-6,172.16.104.163,4280,172.16.102.242,41258,6,14/03/2024 06:08:52 PM,713,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.0490883590464,713.0,0.0,713.0,713.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1402.5245441795232,1402.5245441795232,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41262-4280-6,172.16.102.242,41262,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,6019,4,3,626.0,617.0,626.0,0.0,156.5,313.0,617.0,0.0,205.66666666666666,356.22511608999906,206512.70975245058,1162.9838843661737,1003.1666666666667,2021.8628456615616,5123.0,0.0,5728.0,1909.3333333333335,3031.6408648343117,5405.0,0.0,5414.0,2707.0,3702.4111062927627,5325.0,89.0,0,0,0,0,80,92,664.5622196378135,498.4216647283602,0.0,626.0,155.375,287.7086509946179,82776.26785714286,0,1,0,0,0,0,0,0,0.0,177.57142857142858,156.5,205.66666666666666,0,0,0,0,0,0,4,626,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41262-4280-6,172.16.104.163,4280,172.16.102.242,41262,6,14/03/2024 06:08:52 PM,2079,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.000962000962,2079.0,0.0,2079.0,2079.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,481.000481000481,481.000481000481,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41274-4280-6,172.16.102.242,41274,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,5978,4,3,595.0,617.0,595.0,0.0,148.75,297.5,617.0,0.0,205.66666666666666,356.22511608999906,202743.3924389428,1170.96018735363,996.3333333333333,1815.4905305912964,4660.0,0.0,5726.0,1908.6666666666665,2663.865111700165,4952.0,0.0,4912.0,2456.0,3361.585637760847,4833.0,79.0,0,0,0,0,80,92,669.1201070592172,501.84008029441287,0.0,617.0,151.5,280.58510295452254,78728.0,0,1,0,0,0,0,0,0,0.0,173.14285714285714,148.75,205.66666666666666,0,0,0,0,0,0,4,595,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41274-4280-6,172.16.104.163,4280,172.16.102.242,41274,6,14/03/2024 06:08:52 PM,1051,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.9495718363462,1051.0,0.0,1051.0,1051.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,951.4747859181731,951.4747859181731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41290-4280-6,172.16.102.242,41290,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,7175,4,3,548.0,617.0,548.0,0.0,137.0,274.0,617.0,0.0,205.66666666666666,356.22511608999906,162369.33797909407,975.609756097561,1195.8333333333333,2301.918801058514,5868.0,1.0,6864.0,2288.0,3369.1433629336702,6157.0,1.0,6180.0,3090.0,4252.540182055896,6097.0,83.0,0,0,0,0,80,92,557.4912891986063,418.1184668989547,0.0,617.0,145.625,270.27495920160374,73048.55357142857,0,1,0,0,0,0,0,0,0.0,166.42857142857142,137.0,205.66666666666666,0,0,0,0,0,0,4,548,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41290-4280-6,172.16.104.163,4280,172.16.102.242,41290,6,14/03/2024 06:08:52 PM,950,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105.2631578947367,950.0,0.0,950.0,950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1052.6315789473683,1052.6315789473683,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41302-4280-6,172.16.102.242,41302,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,6379,4,3,543.0,617.0,543.0,0.0,135.75,271.5,617.0,0.0,205.66666666666666,356.22511608999906,181846.68443329676,1097.3506819250665,1063.1666666666667,1976.63759112961,5077.0,0.0,5967.0,1989.0,2925.397579817143,5348.0,0.0,5489.0,2744.5,3585.7384873969827,5280.0,209.0,0,0,0,0,80,92,627.0575325286095,470.2931493964571,0.0,617.0,144.99999999999997,269.2152617197939,72476.85714285713,0,1,0,0,0,0,0,0,0.0,165.71428571428572,135.75,205.66666666666666,0,0,0,0,0,0,4,543,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41302-4280-6,172.16.104.163,4280,172.16.102.242,41302,6,14/03/2024 06:08:52 PM,667,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.500749625188,667.0,0.0,667.0,667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1499.250374812594,1499.250374812594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41310-4280-6,172.16.102.242,41310,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,5382,4,3,561.0,617.0,561.0,0.0,140.25,280.5,617.0,0.0,205.66666666666666,356.22511608999906,218877.74061687107,1300.6317354143441,897.0,1586.7006018779975,4119.0,77.0,5179.0,1726.3333333333335,2288.18406893618,4364.0,274.0,4596.0,2298.0,3140.9683220306442,4519.0,77.0,0,0,0,0,80,92,743.2181345224824,557.4136008918618,0.0,617.0,147.25000000000003,273.064487412249,74564.21428571429,0,1,0,0,0,0,0,0,0.0,168.28571428571428,140.25,205.66666666666666,0,0,0,0,0,0,4,561,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41310-4280-6,172.16.104.163,4280,172.16.102.242,41310,6,14/03/2024 06:08:52 PM,785,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.770700636943,785.0,0.0,785.0,785.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1273.8853503184714,1273.8853503184714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41312-4280-6,172.16.102.242,41312,172.16.104.163,4280,6,14/03/2024 06:08:52 PM,5140,4,3,574.0,617.0,574.0,0.0,143.5,287.0,617.0,0.0,205.66666666666666,356.22511608999906,231712.06225680935,1361.8677042801557,856.6666666666666,1668.0274178402065,4255.0,94.0,4934.0,1644.6666666666665,2460.745686440054,4482.0,94.0,4555.0,2277.5,3083.6926727545338,4458.0,97.0,0,0,0,0,80,92,778.2101167315176,583.6575875486382,0.0,617.0,148.875,275.9023830995303,76122.125,0,1,0,0,0,0,0,0,0.0,170.14285714285714,143.5,205.66666666666666,0,0,0,0,0,0,4,574,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-41312-4280-6,172.16.104.163,4280,172.16.102.242,41312,6,14/03/2024 06:08:52 PM,827,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.3796856106405,827.0,0.0,827.0,827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1209.1898428053203,1209.1898428053203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
