Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.101.224-172.16.103.240-4280-59748-6,172.16.103.240,59748,172.16.101.224,4280,6,20/03/2024 06:05:10 PM,5839,4,4,525.0,1701.0,525.0,0.0,131.25,262.5,1460.0,0.0,425.25,699.1258232011364,381229.66261346126,1370.0976194553864,834.1428571428571,1359.533183188434,3761.0,14.0,5493.0,1831.0,2068.369164341801,4122.0,101.0,4222.0,1407.3333333333335,2342.6688484148444,4112.0,14.0,0,0,0,0,80,112,685.0488097276932,685.0488097276932,0.0,1460.0,247.33333333333337,489.22668569897127,239342.75000000003,0,1,0,0,0,0,0,0,1.0,278.25,131.25,425.25,0,0,0,0,0,0,4,525,4,1701,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59748-6,172.16.101.224,4280,172.16.103.240,59748,6,20/03/2024 06:05:10 PM,672,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2976.190476190476,672.0,0.0,672.0,672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1488.095238095238,1488.095238095238,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59754-6,172.16.103.240,59754,172.16.101.224,4280,6,20/03/2024 06:05:10 PM,7616,4,3,523.0,615.0,523.0,0.0,130.75,261.5,615.0,0.0,205.0,355.0704155516198,149422.268907563,919.1176470588235,1269.3333333333333,1873.1495046222728,4789.0,93.0,7273.0,2424.3333333333335,2544.1958126947175,5148.0,109.0,5241.0,2620.5,3574.424778897998,5148.0,93.0,0,0,0,0,80,92,525.2100840336134,393.90756302521004,0.0,615.0,142.25,264.54097711210744,69981.92857142857,0,1,0,0,0,0,0,0,0.0,162.57142857142858,130.75,205.0,0,0,0,0,0,0,4,523,3,615,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59754-6,172.16.101.224,4280,172.16.103.240,59754,6,20/03/2024 06:05:10 PM,720,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.777777777778,720.0,0.0,720.0,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1388.888888888889,1388.888888888889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59758-6,172.16.103.240,59758,172.16.101.224,4280,6,20/03/2024 06:05:10 PM,6088,4,3,528.0,615.0,528.0,0.0,132.0,264.0,615.0,0.0,205.0,355.0704155516198,187746.38633377137,1149.802890932983,1014.6666666666667,1659.6628171609636,4306.0,71.0,5810.0,1936.6666666666667,2379.021927879887,4616.0,72.0,4656.0,2328.0,3191.8800102760756,4585.0,71.0,0,0,0,0,80,92,657.030223390276,492.772667542707,0.0,615.0,142.875,265.5729318715617,70528.98214285714,0,1,0,0,0,0,0,0,0.0,163.28571428571428,132.0,205.0,0,0,0,0,0,0,4,528,3,615,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59758-6,172.16.101.224,4280,172.16.103.240,59758,6,20/03/2024 06:05:10 PM,679,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2945.5081001472754,679.0,0.0,679.0,679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1472.7540500736377,1472.7540500736377,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59770-6,172.16.103.240,59770,172.16.101.224,4280,6,20/03/2024 06:05:10 PM,6008,4,4,602.0,1731.0,602.0,0.0,150.5,301.0,1460.0,0.0,432.75,696.6469096082079,388315.5792276964,1331.5579227696403,858.2857142857143,1470.843489780123,4071.0,27.0,5682.0,1894.0,2246.53088115877,4410.0,89.0,4513.0,1504.3333333333335,2485.5676078781953,4374.0,27.0,0,0,0,0,80,112,665.7789613848201,665.7789613848201,0.0,1460.0,259.22222222222223,495.3129762528379,245334.9444444444,0,1,0,0,0,0,0,0,1.0,291.625,150.5,432.75,0,0,0,0,0,0,4,602,4,1731,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59770-6,172.16.101.224,4280,172.16.103.240,59770,6,20/03/2024 06:05:10 PM,691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1447.178002894356,1447.178002894356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59772-6,172.16.103.240,59772,172.16.101.224,4280,6,20/03/2024 06:05:10 PM,6467,4,4,544.0,1701.0,544.0,0.0,136.0,272.0,1460.0,0.0,425.25,699.1258232011364,347147.0542755528,1237.0496366166692,923.8571428571429,1660.5968232908942,4556.0,14.0,6193.0,2064.3333333333335,2482.963014894369,4845.0,69.0,4913.0,1637.6666666666665,2763.917569923773,4829.0,14.0,0,0,0,0,80,112,618.5248183083346,618.5248183083346,0.0,1460.0,249.44444444444446,490.61367467466476,240701.7777777778,0,1,0,0,0,0,0,0,1.0,280.625,136.0,425.25,0,0,0,0,0,0,4,544,4,1701,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-59772-6,172.16.101.224,4280,172.16.103.240,59772,6,20/03/2024 06:05:10 PM,817,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447.980416156671,817.0,0.0,817.0,817.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1223.9902080783354,1223.9902080783354,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
