Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.101.224-172.16.103.240-4280-52534-6,172.16.103.240,52534,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,14945,4,3,583.0,593.0,583.0,0.0,145.75,291.5,593.0,0.0,197.66666666666666,342.36870962944806,78688.52459016393,468.384074941452,2490.8333333333335,5030.011507607778,12714.0,1.0,14388.0,4796.0,7174.424645921093,13044.0,1.0,13272.0,6636.0,9121.677477306463,13086.0,186.0,0,0,0,0,80,92,267.64804282368686,200.73603211776515,0.0,593.0,147.0,272.20423005005426,74095.14285714286,0,1,0,0,0,0,0,0,0.0,168.0,145.75,197.66666666666666,0,0,0,0,0,0,4,583,3,593,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52534-6,172.16.101.224,4280,172.16.103.240,52534,6,20/03/2024 06:15:14 PM,677,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954.2097488921713,677.0,0.0,677.0,677.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1477.1048744460857,1477.1048744460857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52536-6,172.16.103.240,52536,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,6223,4,3,527.0,540.0,527.0,0.0,131.75,263.5,540.0,0.0,180.0,311.7691453623979,171460.7102683593,1124.859392575928,1037.1666666666667,1631.6214532380561,4214.0,61.0,5922.0,1974.0,2279.356707494463,4496.0,61.0,4576.0,2288.0,3148.0393898425095,4514.0,62.0,0,0,0,0,80,92,642.7767957576731,482.08259681825484,0.0,540.0,133.375,246.98695020471948,61002.55357142858,0,1,0,0,0,0,0,0,0.0,152.42857142857142,131.75,180.0,0,0,0,0,0,0,4,527,3,540,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52536-6,172.16.101.224,4280,172.16.103.240,52536,6,20/03/2024 06:15:14 PM,856,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2336.448598130841,856.0,0.0,856.0,856.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1168.2242990654206,1168.2242990654206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52544-6,172.16.103.240,52544,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,6321,4,3,531.0,540.0,531.0,0.0,132.75,265.5,540.0,0.0,180.0,311.7691453623979,169435.21594684385,1107.4197120708748,1053.5,1506.4021707366196,3860.0,70.0,6066.0,2022.0,2073.1418185932193,4235.0,125.0,4240.0,2120.0,2899.137802864845,4170.0,70.0,0,0,0,0,80,92,632.8112640404999,474.6084480303749,0.0,540.0,133.875,247.9000014406731,61454.41071428572,0,1,0,0,0,0,0,0,0.0,153.0,132.75,180.0,0,0,0,0,0,0,4,531,3,540,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52544-6,172.16.101.224,4280,172.16.103.240,52544,6,20/03/2024 06:15:14 PM,897,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.654403567447,897.0,0.0,897.0,897.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1114.8272017837235,1114.8272017837235,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52550-6,172.16.103.240,52550,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,5664,4,3,539.0,593.0,539.0,0.0,134.75,269.5,593.0,0.0,197.66666666666666,342.36870962944806,199858.7570621469,1235.8757062146892,944.0,1542.1055735584384,4010.0,61.0,5375.0,1791.6666666666667,2219.5822429757663,4297.0,71.0,4370.0,2185.0,3003.789606480454,4309.0,61.0,0,0,0,0,80,92,706.2146892655368,529.6610169491526,0.0,593.0,141.49999999999997,262.4042682579687,68855.99999999999,0,1,0,0,0,0,0,0,0.0,161.71428571428572,134.75,197.66666666666666,0,0,0,0,0,0,4,539,3,593,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52550-6,172.16.101.224,4280,172.16.103.240,52550,6,20/03/2024 06:15:14 PM,752,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659.5744680851067,752.0,0.0,752.0,752.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1329.7872340425533,1329.7872340425533,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52562-6,172.16.103.240,52562,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,6361,4,3,526.0,593.0,526.0,0.0,131.5,263.0,593.0,0.0,197.66666666666666,342.36870962944806,175915.73651941516,1100.4559031598806,1060.1666666666667,1444.3860171943877,3603.0,62.0,6028.0,2009.3333333333333,1943.0343108996644,3959.0,73.0,4009.0,2004.5,2747.109844909737,3947.0,62.0,0,0,0,0,80,92,628.8319446627888,471.6239584970916,0.0,593.0,139.875,259.61644098279186,67400.69642857143,0,1,0,0,0,0,0,0,0.0,159.85714285714286,131.5,197.66666666666666,0,0,0,0,0,0,4,526,3,593,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52562-6,172.16.101.224,4280,172.16.103.240,52562,6,20/03/2024 06:15:14 PM,579,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3454.231433506045,579.0,0.0,579.0,579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1727.1157167530225,1727.1157167530225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
